Position,"Track Name",Artist,Streams,URL
1,"Despacito - Remix","Luis Fonsi",7076265,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
2,"I'm the One","DJ Khaled",5629955,https://open.spotify.com/track/72Q0FQQo32KJloivv5xge2
3,"Shape of You","Ed Sheeran",4544990,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
4,HUMBLE.,"Kendrick Lamar",4143549,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
5,"Mask Off",Future,3147050,https://open.spotify.com/track/3rOSwuTsUlJp0Pu0MkN8r8
6,"Something Just Like This","The Chainsmokers",3144467,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
7,"Stay (with Alessia Cara)",Zedd,3050323,https://open.spotify.com/track/0dA2Mk56wEzDgegdC6R17g
8,"It Ain't Me (with Selena Gomez)",Kygo,2974900,https://open.spotify.com/track/3eR23VReFzcdmS7TYCrhCe
9,"Swalla (feat. Nicki Minaj & Ty Dolla $ign)","Jason Derulo",2844763,https://open.spotify.com/track/6kex4EBAj0WHXDKZMEJaaF
10,Malibu,"Miley Cyrus",2838802,https://open.spotify.com/track/2habSXqcJGExM6JJyskY7O
11,"There's Nothing Holdin' Me Back","Shawn Mendes",2823828,https://open.spotify.com/track/79cuOz3SPQTuFrp8WgftAu
12,"That's What I Like","Bruno Mars",2810045,https://open.spotify.com/track/0KKkJNfGyhkQ5aFogxQAPU
13,"Despacito (Featuring Daddy Yankee)","Luis Fonsi",2807536,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2
14,"Symphony (feat. Zara Larsson)","Clean Bandit",2741367,https://open.spotify.com/track/1x5sYLZiu9r5E43kMlt9f8
15,"Sign of the Times","Harry Styles",2625731,https://open.spotify.com/track/5Ohxk2dO5COHF1krpoPigN
16,Passionfruit,Drake,2548026,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd
17,Attention,"Charlie Puth",2469489,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
18,"XO TOUR Llif3","Lil Uzi Vert",2387298,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq
19,"Felices los 4",Maluma,2334198,https://open.spotify.com/track/0qYTZCo5Bwh1nsUFGZP3zn
20,"First Time",Kygo,2302143,https://open.spotify.com/track/2Gl0FzuLxflY6nPifJp5Dr
21,Unforgettable,"French Montana",2259907,https://open.spotify.com/track/1F2HXIJrE2Xn81OzT2zZvW
22,DNA.,"Kendrick Lamar",2195489,https://open.spotify.com/track/6HZILIRieu8S0iqY8kIKhj
23,Issues,"Julia Michaels",2035091,https://open.spotify.com/track/1sXUWdKx03aP9Gmzft58rt
24,"Scared to Be Lonely","Martin Garrix",2010475,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH
25,"Galway Girl","Ed Sheeran",1997375,https://open.spotify.com/track/0afhq8XCExXpqazXczTSve
26,Slide,"Calvin Harris",1941083,https://open.spotify.com/track/6gpcs5eMhJwax4mIfKDYQk
27,Congratulations,"Post Malone",1815761,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
28,1-800-273-8255,Logic,1769883,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
29,"Me Rehúso","Danny Ocean",1724542,https://open.spotify.com/track/6Zosz8w6CmdGMZM6p4JlbQ
30,"SUBEME LA RADIO","Enrique Iglesias",1723013,https://open.spotify.com/track/7nKBxz47S9SD79N086fuhn
31,"Pretty Girl - Cheat Codes X CADE Remix","Maggie Lindemann",1707677,https://open.spotify.com/track/39IsH7B5byx8NRlEKlZVg9
32,"No Promises (feat. Demi Lovato)","Cheat Codes",1705461,https://open.spotify.com/track/1louJpMmzEicAn7lzDalPW
33,Thunder,"Imagine Dragons",1681008,https://open.spotify.com/track/56lBX2WHqfGuoeZxZvUnVj
34,"iSpy (feat. Lil Yachty)",KYLE,1647015,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL
35,"Good Life (with G-Eazy & Kehlani)",G-Eazy,1628875,https://open.spotify.com/track/1Eck97uRMlprKOOJN9oO1E
36,"The Cure","Lady Gaga",1612673,https://open.spotify.com/track/51PIvodunv6NmX5250zxAh
37,Believer,"Imagine Dragons",1592093,https://open.spotify.com/track/6VRghJeP6I0w1KxkdWFfIh
38,"Now Or Never",Halsey,1566825,https://open.spotify.com/track/1mDGDb2fUmUMdqV3tb8VKQ
39,Location,Khalid,1506574,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
40,Paris,"The Chainsmokers",1475293,https://open.spotify.com/track/72jbDTw1piOOj770jWNeaG
41,"Call On Me - Ryan Riback Extended Remix",Starley,1436992,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde
42,"Rockabye (feat. Sean Paul & Anne-Marie)","Clean Bandit",1426184,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW
43,Cold,"Maroon 5",1385572,https://open.spotify.com/track/5NNlUMcOEOdoOIwwaWXv0k
44,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1360561,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0
45,"LOVE. FEAT. ZACARI.","Kendrick Lamar",1333932,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
46,"I Feel It Coming","The Weeknd",1299832,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt
47,"You Don't Know Me - Radio Edit","Jax Jones",1295926,https://open.spotify.com/track/4WrS6vezaPwOafKJmHqMEU
48,Rollin,"Calvin Harris",1293775,https://open.spotify.com/track/3FDrI0FLKzrYQiWxPhqV2W
49,"El Amante","Nicky Jam",1286987,https://open.spotify.com/track/3umS4y3uQDkqekNjVpiRUs
50,"Solo Dance","Martin Jensen",1263830,https://open.spotify.com/track/6HUnnBwYZqcED1eQztxMBN
51,"Sweet Creature","Harry Styles",1260871,https://open.spotify.com/track/5kRPPEWFJIMox5qIkQkiz5
52,"Say You Won't Let Go","James Arthur",1213611,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
53,"Slow Hands","Niall Horan",1213151,https://open.spotify.com/track/167NczpNbRF7oWakJaY3Hh
54,"LOYALTY. FEAT. RIHANNA.","Kendrick Lamar",1176520,https://open.spotify.com/track/6SwRhMLwNqEi6alNPVG00n
55,Portland,Drake,1164054,https://open.spotify.com/track/2bjwRfXMk4uRgOD9IBYl9h
56,"Escápate Conmigo",Wisin,1155995,https://open.spotify.com/track/2cnKEkpVUSV4wnjQiTWfH6
57,"Bon Appétit","Katy Perry",1151849,https://open.spotify.com/track/14oOKFGuXu8DqvOe1W8vao
58,"The Night We Met","Lord Huron",1140983,https://open.spotify.com/track/6mORGLOz79w6VsCRLWYYuK
59,"Ahora Dice","Chris Jeday",1129490,https://open.spotify.com/track/22eADXu8DfOAUEDw4vU8qy
60,Closer,"The Chainsmokers",1066993,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
61,"Hey Ma (with Pitbull & J Balvin feat. Camila Cabello) - Spanish Version",Pitbull,1059917,https://open.spotify.com/track/2Vdub5mY4lad7w64bFPUez
62,Tuesday,"Burak Yeter",1058052,https://open.spotify.com/track/5c4tB0saSkNHX5CyDosuF7
63,"Castle on the Hill","Ed Sheeran",1055449,https://open.spotify.com/track/6PCUP3dWmTjcTtXY02oFdT
64,ELEMENT.,"Kendrick Lamar",1045352,https://open.spotify.com/track/1EaKU4dMbesXXd3BrLCtYG
65,"Tunnel Vision","Kodak Black",1038928,https://open.spotify.com/track/4Q3N4Ct4zCuIHuZ65E3BD4
66,Chantaje,Shakira,1020504,https://open.spotify.com/track/1WniHvhq9zTkny0WvGXX8o
67,goosebumps,"Travis Scott",1005525,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
68,"Still Got Time",ZAYN,1003066,https://open.spotify.com/track/000xQL6tZNLJzIrtIgxqSl
69,Starboy,"The Weeknd",988306,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z
70,"Most Girls","Hailee Steinfeld",985731,https://open.spotify.com/track/2mfUa8bLs2s5N4VaqJZ4lZ
71,Selfish,Future,950045,https://open.spotify.com/track/2Ce5IyMlVRVvN997ZJjJJA
72,Perfect,"Ed Sheeran",940554,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
73,"Bad and Boujee (feat. Lil Uzi Vert)",Migos,929587,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR
74,"Sigo Extrañándote","J Balvin",924454,https://open.spotify.com/track/6qDF4wWL49CAVbgT7yuHl8
75,"September Song","JP Cooper",890483,https://open.spotify.com/track/0FuTx2s3YH1ppmtiM6l0zI
76,"One Dance",Drake,885966,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3
77,"Body Like A Back Road","Sam Hunt",881629,https://open.spotify.com/track/7mldq42yDuxiUNn08nvzHO
78,"Fake Love",Drake,864085,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd
79,"The One","The Chainsmokers",863900,https://open.spotify.com/track/0wfbD5rAksdXUzRvMfM3x5
80,"Chained To The Rhythm","Katy Perry",859483,https://open.spotify.com/track/5ndfVSDyPq90jaIUhNPeby
81,"Bounce Back","Big Sean",834925,https://open.spotify.com/track/0SGkqnVQo9KPytSri1H6cF
82,Touch,"Little Mix",830864,https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z
83,Carolina,"Harry Styles",829990,https://open.spotify.com/track/3Dwq1oiOFys6Sxr5SslmXw
84,"Hey DJ",CNCO,827406,https://open.spotify.com/track/209gZgcfLq2aUuu51vOWBl
85,"Let Me Love You","DJ Snake",821109,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m
86,"Otra Vez (feat. J Balvin)","Zion & Lennox",816702,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
87,"Look At Me!",XXXTENTACION,815466,https://open.spotify.com/track/7floNISpH8VF4z4459Qo18
88,"Slippery (feat. Gucci Mane)",Migos,813670,https://open.spotify.com/track/6p8NuHm8uCGnn2Dtbtf7zE
89,"do re mi",Blackbear,810537,https://open.spotify.com/track/6CUBgX8bXC5YQCkdgRHqyg
90,Weak,AJR,807847,https://open.spotify.com/track/6OuV4vfyb8v3vGGGksqyKf
91,"La Rompe Corazones","Daddy Yankee",792088,https://open.spotify.com/track/4okba5wu9mMLXx79DXLKi3
92,Redbone,"Childish Gambino",781191,https://open.spotify.com/track/3kxfsdsCpFgN412fpnW85Y
93,"Green Light",Lorde,775582,https://open.spotify.com/track/1WC5UN1U79gJlxGLYDGIO7
94,Starving,"Hailee Steinfeld",768586,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe
95,"Quit (feat. Ariana Grande)","Cashmere Cat",764534,https://open.spotify.com/track/4Q5yMlwAfAoitqg4r9oZHN
96,"24K Magic","Bruno Mars",758315,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P
97,"Hard Times",Paramore,754990,https://open.spotify.com/track/0w5Bdu51Ka25Pf3hojsKHh
98,T-Shirt,Migos,754364,https://open.spotify.com/track/7KOlJ92bu51cltsD9KU5I7
99,Happier,"Ed Sheeran",742744,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB
100,"Tu Foto",Ozuna,738107,https://open.spotify.com/track/0Szp49tpFasIjX04Mcsydp
101,"No Vacancy",OneRepublic,735989,https://open.spotify.com/track/6XOYVSmNDjKUNMXooU4s4z
102,"Drowning (feat. Kodak Black)","A Boogie Wit da Hoodie",734623,https://open.spotify.com/track/3LnOF5n1GOs01siYZXzS3p
103,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]","Anuel Aa",734177,https://open.spotify.com/track/5q2JbCNi4FcnglgPfxcV65
104,"Whippin (feat. Felix Snow)",Kiiara,723087,https://open.spotify.com/track/3QWjljChcOMkRDYSzF33Qr
105,Gyalchester,Drake,722165,https://open.spotify.com/track/6UjfByV1lDLW0SOVQA4NAi
106,Magnolia,"Playboi Carti",719312,https://open.spotify.com/track/1e1JKLEDKP7hEQzJfNAgPl
107,"Me Enamoré",Shakira,718240,https://open.spotify.com/track/4m5A5meIueOcDBpbqGvkQB
108,"Ciao Adios",Anne-Marie,708405,https://open.spotify.com/track/3EfugazgSddQvzZpkof5I4
109,"Reggaetón Lento (Bailemos)",CNCO,696043,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo
110,"Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)","Major Lazer",689033,https://open.spotify.com/track/0fg8CqpjdojMyXLNzM2PaJ
111,"Don't Let Me Down","The Chainsmokers",684904,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm
112,Swang,"Rae Sremmurd",684864,https://open.spotify.com/track/6mapJIPnQ23RTAevUoE0DL
113,"Two Ghosts","Harry Styles",684472,https://open.spotify.com/track/4B1rpPmQXwj78wk6aIGwwU
114,"How Far I'll Go - From ""Moana""","Alessia Cara",681910,https://open.spotify.com/track/5hYTyyh2odQKphUbMqc5gN
115,"Meet Me in the Hallway","Harry Styles",672181,https://open.spotify.com/track/4u9Y4Z9i9VaAbBK7rW1Rha
116,"Me Llamas (feat. Maluma) - Remix","Piso 21",658839,https://open.spotify.com/track/5hEM0JchdVzQ5PwvSfITeX
117,"Hear Me Now",Alok,656667,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON
118,Everybody,Logic,655903,https://open.spotify.com/track/7cGFbx7MP0H23iHZTZpqMM
119,Photograph,"Ed Sheeran",649875,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy
120,"Don't Wanna Know","Maroon 5",637192,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r
121,Mama,"Jonas Blue",633115,https://open.spotify.com/track/4xlrALxuaCf9yZBHJeTSG6
122,"Whatever It Takes","Imagine Dragons",625936,https://open.spotify.com/track/4izg6Hydc6XGErWW6nbdsV
123,Dive,"Ed Sheeran",625057,https://open.spotify.com/track/51ChrwmUPDJvedPQnIU8Ls
124,"At My Best (feat. Hailee Steinfeld)","Machine Gun Kelly",620721,https://open.spotify.com/track/77lGafvlU68CeHgB2pkHC9
125,"I Took A Pill In Ibiza - Seeb Remix","Mike Posner",609876,https://open.spotify.com/track/17Fd6Yb7mSbinKG8LoWfFl
126,Kiwi,"Harry Styles",608148,https://open.spotify.com/track/33SNO8AaciGbNaQFkxvPrW
127,"In the Name of Love","Martin Garrix",603026,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L
128,"Treat You Better","Shawn Mendes",601767,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd
129,"Bad Bitch (feat. Ty Dolla $ign)","Bebe Rexha",598619,https://open.spotify.com/track/4ZJPwET9Jrgpkqi4Vo3Yg8
130,"Vente Pa' Ca","Ricky Martin",594764,https://open.spotify.com/track/7DM4BPaS7uofFul3ywMe46
131,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")","Justin Timberlake",594568,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc
132,"Cold Water (feat. Justin Bieber & MØ)","Major Lazer",592978,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p
133,"Ever Since New York","Harry Styles",592140,https://open.spotify.com/track/5LABCxgmP7DATATIJXOh6n
134,"XXX. FEAT. U2.","Kendrick Lamar",587896,https://open.spotify.com/track/4iYRa2btalAzPZoSYfROqF
135,"Side To Side","Ariana Grande",580765,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz
