Position,"Track Name",Artist,Streams,URL
1,rockstar,"Post Malone",4072359,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
2,Havana,"Camila Cabello",3512248,https://open.spotify.com/track/0ofbQMrRDsUaVKq2mGLEAb
3,"River (feat. Ed Sheeran)",Eminem,3150514,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
4,"New Rules","Dua Lipa",3006561,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
5,Wolves,"Selena Gomez",2921113,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
6,Perfect,"Ed Sheeran",2522800,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
7,"Him & I (with Halsey)",G-Eazy,2499803,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
8,"Let You Down",NF,2427798,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
9,"What Lovers Do (feat. SZA)","Maroon 5",2402509,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
10,"Échame La Culpa","Luis Fonsi",2385122,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
11,"Shape of You","Ed Sheeran",2277064,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
12,"Too Good At Goodbyes","Sam Smith",2197180,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
13,"Gucci Gang","Lil Pump",2164740,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc
14,Silence,Marshmello,2116698,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
15,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",2098349,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
16,"I Fall Apart","Post Malone",2022923,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
17,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",1866001,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
18,"Dusk Till Dawn - Radio Edit",ZAYN,1786605,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
19,"No Limit",G-Eazy,1777531,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW
20,Corazón,Maluma,1775592,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou
21,"Young Dumb & Broke",Khalid,1640493,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
22,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",1638686,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
23,Downtown,Anitta,1618537,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
24,Thunder,"Imagine Dragons",1592999,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
25,Sensualidad,"Bad Bunny",1584768,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw
26,"How Long","Charlie Puth",1575158,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
27,"Bartier Cardi (feat. 21 Savage)","Cardi B",1560432,https://open.spotify.com/track/75FDPwaULRdYDn4StFN2rT
28,"I Miss You (feat. Julia Michaels)","Clean Bandit",1550655,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
29,Criminal,"Natti Natasha",1534925,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C
30,"XO TOUR Llif3","Lil Uzi Vert",1486166,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
31,"Feel It Still","Portugal. The Man",1473296,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
32,"Mi Gente","J Balvin",1455407,https://open.spotify.com/track/2rb5MvYT7ZIxbKW5hfcHx8
33,"Candy Paint","Post Malone",1417427,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf
34,1-800-273-8255,Logic,1394771,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
35,Unforgettable,"French Montana",1388729,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
36,Congratulations,"Post Malone",1366906,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
37,Stargazing,Kygo,1353760,https://open.spotify.com/track/0Zbbxnx4SGGHoIow4PpISP
38,"Despacito - Remix","Luis Fonsi",1353570,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb
39,"Man's Not Hot","Big Shaq",1283059,https://open.spotify.com/track/2nUJvBO87SkxCViQsLc9Zr
40,"Se Preparó",Ozuna,1281786,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt
41,HUMBLE.,"Kendrick Lamar",1281019,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
42,"Ric Flair Drip (& Metro Boomin)",Offset,1277067,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
43,"Me Rehúso","Danny Ocean",1265676,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
