Position,"Track Name",Artist,Streams,URL
1,"God's Plan",Drake,6786181,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
2,"Psycho (feat. Ty Dolla $ign)","Post Malone",4980071,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
3,"All The Stars (with SZA)","Kendrick Lamar",3758312,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
4,FRIENDS,Marshmello,3462353,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
5,IDGAF,"Dua Lipa",3406405,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
6,Mine,Bazzi,3044735,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
7,"Look Alive (feat. Drake)","BlocBoy JB",3040440,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
8,"The Middle",Zedd,3012626,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
9,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,2834915,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x
10,"Pray For Me (with Kendrick Lamar)","The Weeknd",2735771,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
11,rockstar,"Post Malone",2673643,https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX
12,"Love Lies (with Normani)",Khalid,2534539,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
13,SAD!,XXXTENTACION,2490829,https://open.spotify.com/track/35ieKju5aLWFN5UgfJ27mL
14,Havana,"Camila Cabello",2445365,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
15,Dura,"Daddy Yankee",2367596,https://open.spotify.com/track/2j2fIJGh4PMdXt9ULI5Tlc
16,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",2133128,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
17,Amorfoda,"Bad Bunny",2064624,https://open.spotify.com/track/3ITvHA9zhZZdBJsOsAUegF
18,"Never Be the Same","Camila Cabello",2050637,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
19,"River (feat. Ed Sheeran)",Eminem,1980717,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
20,"Stir Fry",Migos,1969527,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
21,X,"Nicky Jam",1922941,https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA
22,"Finesse (Remix) [feat. Cardi B]","Bruno Mars",1910912,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
23,"Échame La Culpa","Luis Fonsi",1905326,https://open.spotify.com/track/1zsG4eaZmkA1dvjDDsAGLK
24,"New Rules","Dua Lipa",1904187,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
25,"I Fall Apart","Post Malone",1857863,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
26,Wolves,"Selena Gomez",1784093,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
27,"For You (Fifty Shades Freed) (& Rita Ora)","Liam Payne",1757773,https://open.spotify.com/track/5hM6sP0Gh1jD57drszNueC
28,"Sick Boy","The Chainsmokers",1724209,https://open.spotify.com/track/2IKZkwHI5zsZf70STuhvOX
29,Perfect,"Ed Sheeran",1719222,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
30,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",1704053,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH
31,"Him & I (with Halsey)",G-Eazy,1672401,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
32,Heaven,"Julia Michaels",1634968,https://open.spotify.com/track/4QfNOZN7vrQCQKK1ZJ3XPb
33,Everyday,Logic,1632547,https://open.spotify.com/track/6zOhgKfbMiQWToE6K13s2s
34,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",1620452,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
35,"Capital Letters","Hailee Steinfeld",1594971,https://open.spotify.com/track/3towKHKVOXCCcL1fHv6xFO
36,"Let You Down",NF,1591128,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
37,"Ric Flair Drip (& Metro Boomin)",Offset,1552973,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
38,"Shape of You","Ed Sheeran",1540216,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
39,"Say Something","Justin Timberlake",1537598,https://open.spotify.com/track/1LhMopPAallLeaeNutqbgS
40,Bella,Wolfine,1468067,https://open.spotify.com/track/4R55IUi2x7S5ek2SpebOiE
41,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",1456565,https://open.spotify.com/track/33bnxcjePIkcmNjEFTJX0l
42,Corazón,Maluma,1404829,https://open.spotify.com/track/4lESS6vuruP6a79KWRaQou
43,"Me Niego",Reik,1404753,https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T
44,Downtown,Anitta,1372123,https://open.spotify.com/track/3Ga6eKrUFf12ouh9Yw3v2D
45,"This Is Me","Keala Settle",1371483,https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U
46,"Feel It Still","Portugal. The Man",1330839,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
47,"I Miss You (feat. Julia Michaels)","Clean Bandit",1327145,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL
48,Criminal,"Natti Natasha",1303962,https://open.spotify.com/track/6Za3190Sbw39BBC77WSS1C
49,Silence,Marshmello,1293413,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
50,Thunder,"Imagine Dragons",1259942,https://open.spotify.com/track/26gceVsA1ybT8qsX3aYLEn
51,"XO TOUR Llif3","Lil Uzi Vert",1160408,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
52,"Too Good At Goodbyes","Sam Smith",1153030,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
53,"Síguelo Bailando",Ozuna,1122225,https://open.spotify.com/track/5Y9fnynLlIvqtM710MHzfz
54,Congratulations,"Post Malone",1119364,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
55,Sensualidad,"Bad Bunny",1102855,https://open.spotify.com/track/5hcisvFMidkMJlElTO9Qmw
56,"What Lovers Do (feat. SZA)","Maroon 5",1100645,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
57,"Like I Do","David Guetta",1090682,https://open.spotify.com/track/6RnkFd8Fqqgk1Uni8RgqCQ
58,"EL BAÑO","Enrique Iglesias",1086436,https://open.spotify.com/track/2vvdTrdryjsl8DmPIMDWZU
59,"Rewrite The Stars","Zac Efron",1077680,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
60,HUMBLE.,"Kendrick Lamar",1051822,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
61,Breathe,"Jax Jones",1048624,https://open.spotify.com/track/6tvQzeCPwOytDlBYCIOY0n
62,"Young Dumb & Broke",Khalid,1045084,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
63,Narcos,Migos,1035425,https://open.spotify.com/track/0wbnC9AUenxp613TYaJsGK
64,Dembow,"Danny Ocean",1021905,https://open.spotify.com/track/2EzRdhuoPyNJDlep7lnNf2
65,Anywhere,"Rita Ora",1018953,https://open.spotify.com/track/7EI6Iki24tBHAMxtb4xQN2
66,Betrayed,"Lil Xan",1014290,https://open.spotify.com/track/6NWl2m8asvH83xjuXVNsuG
67,"You Owe Me","The Chainsmokers",1012875,https://open.spotify.com/track/1USJRpWDFhxwhCajPXBeel
68,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes",993499,https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b
69,"Top Off","DJ Khaled",981324,https://open.spotify.com/track/1W6wxOOYyJyyok8fqYSZ3m
70,"Candy Paint","Post Malone",977857,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf
71,"Dusk Till Dawn - Radio Edit",ZAYN,961755,https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv
72,"LOVE. FEAT. ZACARI.","Kendrick Lamar",955390,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
73,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",953818,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
74,"She Loves Control","Camila Cabello",949402,https://open.spotify.com/track/5HwnezK198pJCEj1l2Adjy
75,Believer,"Imagine Dragons",948816,https://open.spotify.com/track/7Izh7zLJGw1Nscd62Exxj4
76,"Bum Bum Tam Tam","MC Fioti",947221,https://open.spotify.com/track/4zWO4gvuFtw6EJZC5FFGlr
77,Machika,"J Balvin",929007,https://open.spotify.com/track/6MNGxu8MprKGkchUchkJsy
78,changes,XXXTENTACION,913180,https://open.spotify.com/track/4PANCoXZX3RaT2D6mqSdEU
79,"44 More",Logic,911036,https://open.spotify.com/track/6iyp6udVpLuq3MCUulZT4h
80,"Jocelyn Flores",XXXTENTACION,908612,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
81,"New Freezer (feat. Kendrick Lamar)","Rich The Kid",907707,https://open.spotify.com/track/4pYZLpX23Vx8rwDpJCpPTA
82,Unforgettable,"French Montana",897917,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
83,"How Long","Charlie Puth",895394,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi
84,"Tip Toe (feat. French Montana)","Jason Derulo",894695,https://open.spotify.com/track/2z4pcBLQXF2BXKFvd0BuB6
85,"Sky Walker",Miguel,875250,https://open.spotify.com/track/5WoaF1B5XIEnWfmb5NZikf
86,"Bank Account","21 Savage",870463,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G
87,"Nowadays (feat. Landon Cube)","Lil Skies",863212,https://open.spotify.com/track/2u7mxWSeoqTXndK5e08jMp
88,"No Limit",G-Eazy,861098,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW
89,Solita,Ozuna,860161,https://open.spotify.com/track/7rwX0O3RlxqqIjQM8evm5E
90,"Se Preparó",Ozuna,857296,https://open.spotify.com/track/1m69ELEgE6k5ZWsap40ozt
91,"So Far Away","Martin Garrix",856342,https://open.spotify.com/track/0OlnLZY4cmQzT6ZGttvWBM
92,"Pick It Up (feat. A$AP Rocky)","Famous Dex",856144,https://open.spotify.com/track/3ncgNpxLoBQ65ABk4djDyd
93,"X (with 2 Chainz & Saudi)","ScHoolboy Q",854790,https://open.spotify.com/track/4LmAnpjlhWTahvRkYR8xJa
94,"Plug Walk","Rich The Kid",846675,https://open.spotify.com/track/0gD6lWJhbXHWNVwQziSVvl
95,"I Like Me Better",Lauv,845670,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9
96,1-800-273-8255,Logic,838676,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
97,"Sorry Not Sorry","Demi Lovato",838077,https://open.spotify.com/track/3m660poUr1chesgkkjQM7P
98,"Say You Won't Let Go","James Arthur",832528,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
99,"Want You Back","5 Seconds of Summer",809240,https://open.spotify.com/track/2Pvr8rYuh5J8V7QglJhH6W
100,"Something Just Like This","The Chainsmokers",807682,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
101,Attention,"Charlie Puth",797259,https://open.spotify.com/track/4iLqG9SeJSnt0cSPICSjxv
102,Location,Khalid,784976,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
103,"Me Rehúso","Danny Ocean",784731,https://open.spotify.com/track/6De0lHrwBfPfrhorm9q1Xl
104,"Plain Jane","A$AP Ferg",779372,https://open.spotify.com/track/4dVpf9jZjcORqGTLUaeYj9
105,MotorSport,Migos,775663,https://open.spotify.com/track/4wFjTWCunQFKtukqrNijEt
106,"Mad Love","Sean Paul",774374,https://open.spotify.com/track/3soOPBuMK8YMdWnV7xpEyf
107,"Quiero Repetir",Ozuna,758181,https://open.spotify.com/track/0MIcPSq9n2z5H8TAfEstri
108,"Bartier Cardi (feat. 21 Savage)","Cardi B",751861,https://open.spotify.com/track/75FDPwaULRdYDn4StFN2rT
109,"All Falls Down","Alan Walker",748142,https://open.spotify.com/track/5yFSF6qQA1rcLsQRnBsZgb
110,Esperándote,"Manuel Turizo",747334,https://open.spotify.com/track/1nfyE13arjOuO54HH0zmqj
